City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,Boa Vista,2.82,-60.67,89.6,55,23,4.7,BR,2020-08-21 00:44:23
213,Santa Isabel Do Rio Negro,-0.41,-65.02,80.37,66,0,3.02,BR,2020-08-21 00:44:23
214,Cambridge,43.36,-80.31,70.0,64,1,12.75,CA,2020-08-21 00:39:36
215,Mareeba,-17.0,145.43,82.0,50,12,8.05,AU,2020-08-21 00:44:24
216,Guben,51.95,14.71,70.0,36,55,5.91,DE,2020-08-21 00:44:24
217,Padang,-0.95,100.35,81.63,70,92,3.15,ID,2020-08-21 00:44:24
218,Airai,-8.93,125.41,74.75,23,0,4.74,TL,2020-08-21 00:44:24
219,Myitkyina,25.38,97.4,77.77,89,94,0.29,MM,2020-08-21 00:44:25
220,Cururupu,-1.83,-44.87,75.79,88,12,4.43,BR,2020-08-21 00:44:25
221,Marquette,46.53,-87.63,64.99,87,66,3.0,US,2020-08-21 00:44:25
222,Garowe,8.41,48.48,74.98,69,0,21.25,SO,2020-08-21 00:44:25
223,Sisimiut,66.94,-53.67,51.1,72,0,3.6,GL,2020-08-21 00:44:26
224,Ancud,-41.87,-73.82,48.0,93,90,6.93,CL,2020-08-21 00:44:26
225,San Jeronimo,-11.95,-75.28,53.55,62,100,2.8,PE,2020-08-21 00:44:27
226,Vardo,70.37,31.11,48.22,85,100,3.06,NO,2020-08-21 00:44:27
227,Robertsport,6.75,-11.37,76.78,83,100,13.27,LR,2020-08-21 00:44:27
228,Dinslaken,51.57,6.73,82.99,63,100,1.99,DE,2020-08-21 00:44:27
229,Buritizeiro,-17.35,-44.96,73.08,40,11,3.02,BR,2020-08-21 00:44:28
230,Brooks,50.58,-111.89,82.81,32,100,7.18,CA,2020-08-21 00:44:28
231,Deputatskiy,69.3,139.9,40.26,70,56,2.89,RU,2020-08-21 00:44:28
232,Manado,1.49,124.85,84.2,62,20,2.24,ID,2020-08-21 00:44:29
233,Ponta Do Sol,32.67,-17.1,75.2,83,20,1.79,PT,2020-08-21 00:44:29
234,Codrington,-38.27,141.97,49.14,78,100,21.36,AU,2020-08-21 00:44:29
235,Marzuq,14.4,46.47,80.62,53,88,5.55,YE,2020-08-21 00:44:29
236,Kayes,14.0,-11.0,82.4,83,20,2.24,ML,2020-08-21 00:44:30
237,Iralaya,15.0,-83.23,80.6,83,75,5.37,HN,2020-08-21 00:44:30
238,Maridi,4.92,29.47,67.21,93,90,1.25,SS,2020-08-21 00:44:30
239,Sile,41.18,29.61,69.8,83,0,1.12,TR,2020-08-21 00:44:30
240,Khorixas,-20.37,14.97,56.12,26,0,8.28,NA,2020-08-21 00:44:31
241,Ziro,27.63,93.83,60.4,100,3,0.85,IN,2020-08-21 00:44:31
242,Belaya Gora,68.53,146.42,44.8,63,97,3.56,RU,2020-08-21 00:44:31
243,Nouadhibou,20.93,-17.03,71.6,83,0,5.82,MR,2020-08-21 00:44:31
244,Malinovoye Ozero,51.68,79.78,61.27,44,0,2.68,RU,2020-08-21 00:44:31
245,Batsfjord,70.63,29.72,46.02,80,78,5.44,NO,2020-08-21 00:44:32
246,Touros,-5.2,-35.46,75.2,94,20,5.82,BR,2020-08-21 00:44:32
247,Karasjok,69.47,25.51,48.2,87,100,17.22,NO,2020-08-21 00:44:32
248,Amapa,1.0,-52.0,74.71,70,0,3.31,BR,2020-08-21 00:44:32
249,Bolshaya Martynovka,47.27,41.67,74.1,27,100,11.14,RU,2020-08-21 00:44:32
250,Chapais,49.78,-74.85,53.6,93,90,5.82,CA,2020-08-21 00:44:33
251,Askino,56.09,56.58,50.92,96,100,8.59,RU,2020-08-21 00:44:33
252,Arlit,18.74,7.39,94.78,15,100,8.68,NE,2020-08-21 00:44:33
253,Adrar,20.5,-10.07,93.42,31,20,10.47,MR,2020-08-21 00:44:33
254,Malumfashi,11.79,7.62,72.1,89,95,11.74,NG,2020-08-21 00:44:34
255,Silver City,32.77,-108.28,86.0,16,90,19.46,US,2020-08-21 00:44:34
256,Palana,59.12,159.97,53.74,77,89,7.07,RU,2020-08-21 00:44:34
257,Campo Maior,-4.83,-42.17,82.13,53,78,8.79,BR,2020-08-21 00:44:34
258,Pangnirtung,66.15,-65.71,52.99,63,0,2.84,CA,2020-08-21 00:44:35
259,Port Lincoln,-34.73,135.87,52.95,60,83,24.29,AU,2020-08-21 00:40:57
260,Kokoda,-8.88,147.74,87.19,46,0,5.06,PG,2020-08-21 00:44:35
261,Dekar,-21.53,21.93,46.85,48,0,6.51,BW,2020-08-21 00:44:35
262,Ikare,7.49,5.23,70.52,96,100,4.85,NG,2020-08-21 00:44:36
263,Kaoma,-14.78,24.8,60.71,54,79,4.97,ZM,2020-08-21 00:44:36
264,Miri,4.41,114.01,82.4,78,20,5.82,MY,2020-08-21 00:44:36
265,Puerto Madero,14.72,-92.42,75.2,100,75,5.82,MX,2020-08-21 00:44:36
266,Dehui,44.53,125.7,62.6,77,0,6.71,CN,2020-08-21 00:44:37
267,Cumra,37.57,32.77,64.4,55,0,13.87,TR,2020-08-21 00:44:37
268,Phan Thiet,10.93,108.1,82.2,76,4,3.94,VN,2020-08-21 00:44:37
269,Klaksvik,62.23,-6.59,53.6,93,99,2.24,FO,2020-08-21 00:44:37
270,Isla Mujeres,21.23,-86.73,84.99,74,75,9.17,MX,2020-08-21 00:40:03
271,Baft,29.23,56.61,66.69,49,41,2.26,IR,2020-08-21 00:44:38
272,Naxos,37.11,25.38,75.2,69,0,6.93,GR,2020-08-21 00:39:54
273,Leningradskiy,69.38,178.42,46.98,79,93,7.36,RU,2020-08-21 00:44:39
274,Saint George,37.1,-113.58,107.6,9,1,13.87,US,2020-08-21 00:44:39
275,Goundam,16.41,-3.67,91.02,43,0,8.79,ML,2020-08-21 00:44:39
