City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
160,Cabo San Lucas,MX,22.89,-109.91,78.01,94,100,20.0,moderate rain
161,Anadyr,RU,64.75,177.48,59.0,47,100,20.13,overcast clouds
162,Jaciara,BR,-15.97,-54.97,78.3,28,0,2.86,clear sky
163,Chokurdakh,RU,70.63,147.92,36.28,92,100,10.51,overcast clouds
164,Koslan,RU,63.46,48.9,49.06,94,100,9.73,overcast clouds
165,East London,ZA,-33.02,27.91,51.76,52,0,5.17,clear sky
166,Severo-Kurilsk,RU,50.68,156.12,53.69,91,100,7.54,overcast clouds
167,Yumen,CN,40.28,97.2,75.88,30,92,20.76,overcast clouds
168,Kirillov,RU,59.86,38.38,45.55,93,0,1.14,clear sky
169,Batemans Bay,AU,-35.72,150.18,64.0,69,0,8.99,clear sky
170,Vanavara,RU,60.34,102.28,63.3,70,100,3.58,light rain
171,Nachalovo,RU,46.34,48.2,64.4,88,0,2.24,clear sky
172,Leningradskiy,RU,69.38,178.42,56.97,49,94,6.62,overcast clouds
173,Clyde River,CA,70.47,-68.59,48.2,87,90,5.64,overcast clouds
174,Bojnice,SK,48.79,18.59,59.0,100,0,3.36,clear sky
175,Staryy Nadym,RU,65.61,72.68,58.78,86,90,9.08,overcast clouds
176,Manaus,BR,-3.1,-60.02,86.0,62,0,4.7,clear sky
177,Mtwara,TZ,-10.27,40.18,72.14,85,59,2.77,broken clouds
178,Ust-Kuyga,RU,70.02,135.6,41.13,84,100,2.93,overcast clouds
179,Asau,RO,46.43,26.4,60.01,99,99,3.56,overcast clouds
180,Shingu,JP,33.73,135.98,89.6,66,75,5.82,broken clouds
181,Mayumba,GA,-3.43,10.66,72.25,89,92,9.1,overcast clouds
182,Hasaki,JP,35.73,140.83,93.0,62,20,6.93,few clouds
183,Hambantota,LK,6.12,81.12,78.8,100,20,8.05,few clouds
184,Bontang,ID,0.13,117.5,83.03,71,0,4.23,clear sky
185,Hofn,IS,64.25,-15.21,46.8,74,41,13.85,scattered clouds
186,Severomorsk,RU,69.07,33.42,46.4,100,85,4.47,overcast clouds
187,Kalmunai,LK,7.42,81.82,80.31,73,100,6.26,overcast clouds
188,Nouadhibou,MR,20.93,-17.03,69.8,88,5,17.22,clear sky
189,Aklavik,CA,68.22,-135.01,66.2,52,40,4.7,scattered clouds
190,Maamba,ZM,-17.37,27.15,60.4,31,0,4.56,clear sky
191,Nikolskoye,RU,59.7,30.79,53.01,87,0,4.47,clear sky
192,Narsaq,GL,60.92,-46.05,50.0,66,22,4.7,few clouds
193,Brae,GB,60.4,-1.35,59.0,93,63,10.29,broken clouds
194,Fortuna,US,40.6,-124.16,69.01,72,1,4.0,clear sky
195,Bambous Virieux,MU,-20.34,57.76,68.0,82,75,8.05,shower rain
196,Taicheng,CN,38.73,113.23,66.15,71,19,4.79,few clouds
197,Eureka,US,40.8,-124.16,64.0,81,3,3.0,clear sky
198,Tuatapere,NZ,-46.13,167.68,57.99,76,100,3.0,overcast clouds
199,Sisimiut,GL,66.94,-53.67,48.92,73,0,8.12,clear sky
200,Kushima,JP,31.46,131.23,87.8,74,40,5.82,scattered clouds
201,Lebu,CL,-37.62,-73.65,44.42,74,0,18.97,clear sky
202,Beringovskiy,RU,63.05,179.32,59.52,48,100,8.43,overcast clouds
203,Coquimbo,CL,-29.95,-71.34,51.8,87,0,4.7,clear sky
204,Lorengau,PG,-2.02,147.27,86.13,66,35,8.81,scattered clouds
205,La Asuncion,VE,11.03,-63.86,82.4,83,56,12.75,broken clouds
206,Hays,US,30.05,-98.03,89.01,25,3,1.99,clear sky
207,Dawson Creek,CA,55.77,-120.24,71.6,30,1,5.82,clear sky
208,Tukrah,LY,32.53,20.58,77.05,81,0,8.25,clear sky
209,Zakharovo,RU,54.37,39.28,52.0,70,91,1.01,overcast clouds
210,Dakar,SN,14.69,-17.44,82.4,83,40,6.93,scattered clouds
211,Salalah,OM,17.02,54.09,77.0,94,90,5.82,light intensity drizzle
212,Comodoro Rivadavia,AR,-45.87,-67.5,51.8,55,85,17.22,overcast clouds
213,Lazaro Cardenas,MX,17.96,-102.2,80.71,83,100,8.21,overcast clouds
214,Cherat,PK,33.82,71.89,78.8,88,75,6.93,haze
215,Gisborne,NZ,-38.65,178.0,63.0,56,96,4.0,overcast clouds
216,Hatillo,PR,18.49,-66.83,84.0,100,0,13.13,clear sky
217,Narvik,NO,68.44,17.43,48.2,93,100,5.82,light rain
218,Palmer,US,42.16,-72.33,63.0,100,20,3.36,few clouds
219,Nanortalik,GL,60.14,-45.24,46.18,77,2,12.28,clear sky
220,Provost,CA,52.35,-110.27,72.75,57,0,7.29,clear sky
221,Bam,IR,29.11,58.36,81.27,18,4,2.68,clear sky
