City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
379,Lloret De Mar,ES,77.0,clear sky,41.7,2.85,Guitart Central Park Aqua Resort
383,Ambon,ID,84.2,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
385,Sur,OM,85.64,broken clouds,22.57,59.53,Sur Plaza Hotel
391,Pascagoula,US,80.6,few clouds,30.37,-88.56,Regency Inn
393,Doha,QA,89.6,scattered clouds,25.29,51.53,Movenpick Hotel Doha
396,Pemangkat,ID,82.56,overcast clouds,1.17,108.97,Kost H.Syamsuddin
397,Taua,BR,75.79,overcast clouds,-5.97,-40.3,Hotel São Silvestre
401,Lahaina,US,86.0,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
402,Pangai,TO,82.4,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
405,Biltine,TD,75.65,overcast clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
413,Hit,IQ,82.18,clear sky,33.64,42.83,Aboody Alhachem
415,Mao,ES,75.2,clear sky,39.89,4.27,ARTIEM Capri
427,Charters Towers,AU,78.01,scattered clouds,-20.1,146.27,Cattleman's Rest Motor Inn
428,Sao Felix Do Xingu,BR,78.39,few clouds,-6.64,-51.99,Apart Hotel Rio Xingu
433,Hobyo,SO,76.93,overcast clouds,5.35,48.53,Osmani Hotel
435,Vila Do Maio,CV,78.8,few clouds,15.13,-23.22,Residence 'I Delfini'
437,Ankang,CN,75.25,light rain,32.68,109.02,安琪酒店
440,Luancheng,CN,75.2,light rain,37.88,114.65,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
444,Kununurra,AU,86.0,clear sky,-15.77,128.73,Hotel Kununurra
448,Jatiroto,ID,78.8,few clouds,-7.88,111.12,Mushola Al Huda
451,Itaituba,BR,84.76,broken clouds,-4.28,-55.98,Hotel Campos
452,Jacmel,HT,86.0,scattered clouds,18.23,-72.53,Hotel Florita
453,Canutama,BR,83.77,clear sky,-6.53,-64.38,Hotel Jhennifer
458,Denpasar,ID,80.6,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
464,Nabire,ID,84.56,light rain,-3.37,135.48,Hotel Nusantara Nabire
473,Sola,VU,80.35,light rain,-13.88,167.55,Leumerus Bungalows
480,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
481,Tekanpur,IN,80.6,mist,25.98,78.27,OYO 61304 Sheela's Resort
483,Buraydah,SA,80.6,few clouds,26.33,43.98,Mövenpick Hotel Qassim
484,Kawalu,ID,80.4,scattered clouds,-7.38,108.21,KOSAN UNGU UNSIK
498,Luzhou,CN,79.18,broken clouds,28.87,105.44,Shijichun Hotel
500,Meulaboh,ID,82.76,overcast clouds,4.14,96.13,Kost Pria
501,Petatlan,MX,78.78,overcast clouds,17.52,-101.27,Hotel California Petatlán
509,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
516,Calabozo,VE,76.5,light rain,8.92,-67.43,Hotel Giardini
517,Saint Anthony,US,77.0,scattered clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
519,Sabang,ID,82.33,overcast clouds,5.89,95.32,Hotel Citra
523,Camocim,BR,76.12,broken clouds,-2.9,-40.84,Hotel Ilha do Amor
524,Sabalgarh,IN,83.64,moderate rain,26.25,77.4,Kailadevi studio
527,Bubaque,GW,81.27,light rain,11.28,-15.83,Casa Dora
528,Sidhpura,IN,82.62,overcast clouds,27.63,78.88,Taj Hotel
538,Havelock,US,77.0,broken clouds,34.88,-76.9,Sherwood Motel
541,Dawei,MM,83.79,light rain,14.08,98.2,Hotel Dawei
544,Pucallpa,PE,80.91,light rain,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
552,Ciudad Bolivar,VE,80.69,overcast clouds,8.12,-63.55,Hotel Edi
556,Tabon,PH,81.91,moderate rain,9.24,117.99,Noc's Pension House
557,Nishihara,JP,89.6,scattered clouds,26.18,127.76,Minshuku Agaihama
558,Bonthe,SL,75.49,moderate rain,7.53,-12.51,Bonthe Holiday Village
562,Kanniyakumari,IN,80.06,overcast clouds,8.08,77.57,New Cape Hotel
568,Manokwari,ID,82.6,light rain,-0.87,134.08,Swiss Belhotel Manokwari
569,Najran,SA,80.6,scattered clouds,17.49,44.13,محمد هادي ال فطيح
570,Russell,US,80.6,scattered clouds,32.35,-85.2,Macs
571,Manaure,CO,83.73,light rain,11.78,-72.44,Del mar vendra
574,Bugama,NG,77.0,broken clouds,4.73,6.86,Johnbull polo
576,Ixtapa,MX,84.2,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
587,Long,TH,77.0,few clouds,18.08,99.83,Nopphakoe Homestay
589,Cozumel,MX,84.0,scattered clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
590,Cabatuan,PH,78.78,overcast clouds,10.88,122.49,Tobias Hime
